a min tjoa,30
a-xing zhu,12
a. a. soliman,11
a. agung julius,15
a. alan b. pritsker,14
a. ant ozok,11
a. aydin alatan,27
a. ben hamza,20
a. benjamin premkumar,16
a. c. cem say,12
a. cengiz öztireli,13
a. chockalingam,10
a. david edwards,15
a. david marshall,23
a. dhammika s. jayalath,14
a. e. cawkell,11
a. e. eiben,19
a. enis çetin,30
a. frank van der stappen,24
a. g. ramakrishnan,21
a. galip ulsoy,12
a. govardhan,12
a. hamid aghvami,25
a. j. bernheim brush,17
a. j. e. m. janssen,11
a. j. feelders,10
a. j. han vinck,19
a. j. ko 0001,20
a. j. lacey,10
a. k. m. najmul islam,13
a. k. misra,10
a. kai qin,12
a. kaveh,11
a. keith dunker,17
a. kumar,11
a. kumaran 0001,10
a. l. narasimha reddy,17
a. lee swindlehurst,30
a. m. day,10
a. mani,10
a. martin wildberger,15
a. murat tekalp,36
a. n. rajagopalan,11
a. nur zincir-heywood,19
a. p. sakis meliopoulos,23
a. pedro aguiar,17
a. prasad sistla,32
a. prasad vinod,18
a. r. ashrafi,14
a. richard newton,17
a. robert calderbank,38
a. roger hammons jr.,11
a. s. madhukumar,21
a. selcuk uluagac,11
a. srinivasan,12
a. stephen morse,19
a. t. chamillard,12
a. taleb-bendiab,12
a. tanju erdem,13
a. taufiq asyhari,11
a. taylan cemgil,11
a. udaya shankar,13
a. v. babu 0001,11
a. v. balakrishnan,10
a. venkata subramanyam,12
a. vinaya babu,10
a. w. roscoe 0001,17
a. yavuz oruç,10
aad p. a. van moorsel,16
aameek singh,14
aamer chughtai,13
aamer jaleel,16
aamer nadeem,16
aamir saeed malik,15
aamir shafi,12
aapo hyvärinen,25
aapo nummenmaa,11
aaqib patel,10
aarne halme,18
aarne mämmelä,24
aarno pärssinen,14
aarnout brombacher,14
aaron b. wagner,18
aaron c. courville,12
aaron carass,15
aaron clauset,10
aaron d. ames,18
aaron d. jaggard,10
aaron d. ward,11
aaron d. wyner,17
aaron e. rosenberg,11
aaron f. bobick,17
aaron fenster,23
aaron halfaker,10
aaron harwood,23
aaron hertzmann,21
aaron hunter,19
aaron j. elmore,10
aaron j. quigley,13
aaron j. ridley,12
aaron johnson,14
aaron kershenbaum,10
aaron knoll,10
aaron m. cohen,17
aaron m. dollar,11
aaron m. french,10
aaron marcus,11
aaron paulos,10
aaron potechin,13
aaron roth 0001,13
aaron sloman,18
aaron steinfeld,13
aaron striegel,21
aaron stump,21
aaron t. becker,13
aaron williams,16
aart blokhuis,12
aart middeldorp,32
aart van halteren,13
aarti gupta,25
aarti singh,13
aasa feragen,11
aawatif hayar,12
abba b. gumel,10
abbas abdolmaleki,10
abbas al-refaie,12
abbas bigdeli,12
